id,file,object,background,lighting,material,shape,token,truth,source,notes
airpods-wood-01,raw/airpods-wood-01.jpeg,airpods_case,wood,bright,glossy,bulky,yes,,phone-2026-06,white glossy case on warm wood
caliper-chrome-diag-01,raw/caliper-chrome-diag-01.jpeg,caliper,wood,bright,chrome,thin,yes,,phone-2026-06,reflective steel + black body + blue scale; diagonal
charger-dark-01,raw/charger-dark-01.jpeg,usb_charger,light_table,bright,dark,bulky,yes,,phone-2026-06,black object on light table; arm + tiled floor at edges
tape-measure-chrome-01,raw/tape-measure-chrome-01.jpeg,tape_measure,light_table,bright,chrome,bulky,yes,,phone-2026-06,chrome body + yellow label; clutter at edges; near table edge
ruler-alu-diag-01,raw/ruler-alu-diag-01.jpeg,scale_ruler,light_table,bright,chrome,thin,yes,,phone-2026-06,reflective aluminium ruler; diagonal; clutter at edges
ruler-alu-horiz-01,raw/ruler-alu-horiz-01.jpeg,scale_ruler,light_table,bright,chrome,thin,yes,,phone-2026-06,reflective aluminium ruler; horizontal; clutter at edges
tape-dispenser-dark-01,raw/tape-dispenser-dark-01.jpeg,tape_dispenser,wood,bright,dark,bulky,yes,,phone-2026-06,black dispenser on wood; jeans at corner
tape-roll-lowcontrast-01,raw/tape-roll-lowcontrast-01.jpeg,tape_roll,light_table,bright,matte,bulky,yes,,phone-2026-06,white/light roll on light surface — LOW CONTRAST; clutter at edges
correction-tape-tipex-01,raw/correction-tape-tipex-01.jpeg,correction_tape,wood,bright,transparent,thin,yes,,phone-2026-06,small transparent + red/blue Tipp-Ex on wood
glue-stick-uhu-01,raw/glue-stick-uhu-01.jpeg,glue_stick,light_table,bright,colorful,bulky,yes,,phone-2026-06,yellow UHU label + white cap; clutter at edges
scissors-white,raw/scissors-white.jpeg,scissors,white_paper,bright,chrome,perforated,yes,,phone-2026-06,blue handles + chrome blades
scissors-wood,raw/scissors-wood.jpeg,scissors,wood,bright,chrome,perforated,yes,,phone-2026-06,blue handles + chrome blades
pencil-white,raw/pencil-white.jpeg,pencil,white_paper,bright,matte,thin,yes,,phone-2026-06,wooden pencil
pencil-wood,raw/pencil-wood.jpeg,pencil,wood,bright,matte,thin,yes,,phone-2026-06,wooden pencil
utility-knife-white,raw/utility-knife-white.jpeg,utility_knife,white_paper,bright,chrome,thin,yes,,phone-2026-06,converted from HEIC
utility-knife-wood,raw/utility-knife-wood.jpeg,utility_knife,wood,bright,chrome,thin,yes,,phone-2026-06,converted from HEIC
eraser-light,raw/eraser-light.jpeg,eraser,light_table,bright,matte,bulky,yes,,phone-2026-06,converted from HEIC
eraser-wood,raw/eraser-wood.jpeg,eraser,wood,bright,matte,bulky,yes,,phone-2026-06,converted from HEIC
maped-pen-white,raw/maped-pen-white.jpeg,maped_pen,white_paper,bright,glossy,thin,yes,,phone-2026-06,
maped-pen-wood,raw/maped-pen-wood.jpeg,maped_pen,wood,bright,glossy,thin,yes,,phone-2026-06,
hole-punch-white,raw/hole-punch-white.jpeg,hole_punch,white_paper,bright,colorful,bulky,yes,,phone-2026-06,teal Maped punch
hole-punch-wood,raw/hole-punch-wood.jpeg,hole_punch,wood,bright,colorful,bulky,yes,,phone-2026-06,teal Maped punch
highlighter-white,raw/highlighter-white.jpeg,highlighter,white_paper,bright,colorful,thin,yes,,phone-2026-06,Stabilo
highlighter-wood,raw/highlighter-wood.jpeg,highlighter,wood,bright,colorful,thin,yes,,phone-2026-06,Stabilo
pen-white,raw/pen-white.jpeg,pen,white_paper,bright,glossy,thin,yes,,phone-2026-06,
pen-wood,raw/pen-wood.jpeg,pen,wood,bright,glossy,thin,yes,,phone-2026-06,
correction-tape-white,raw/correction-tape-white.jpeg,correction_tape,white_paper,bright,colorful,bulky,yes,,phone-2026-06,Tipp-Ex
correction-tape-wood,raw/correction-tape-wood.jpeg,correction_tape,wood,bright,colorful,bulky,yes,,phone-2026-06,Tipp-Ex
wrench-white,raw/wrench-white.jpeg,wrench,white_paper,bright,chrome,thin,yes,,phone-2026-06,Facom combination wrench
wrench-wood,raw/wrench-wood.jpeg,wrench,wood,bright,chrome,thin,yes,,phone-2026-06,Facom combination wrench
fork-white,raw/fork-white.jpeg,fork,white_paper,bright,chrome,thin,yes,,phone-2026-06,metal fork
fork-wood,raw/fork-wood.jpeg,fork,wood,bright,chrome,thin,yes,,phone-2026-06,metal fork
mouse-white,raw/mouse-white.jpeg,mouse,white_paper,bright,glossy,bulky,yes,,phone-2026-06,Logitech light mint
mouse-wood,raw/mouse-wood.jpeg,mouse,wood,bright,glossy,bulky,yes,,phone-2026-06,Logitech light mint
screwdriver-white,raw/screwdriver-white.jpeg,screwdriver,white_paper,bright,chrome,thin,yes,,phone-2026-06,
screwdriver-wood,raw/screwdriver-wood.jpeg,screwdriver,wood,bright,chrome,thin,yes,,phone-2026-06,
